ltar_roi_id,time_period,l8_and_s2_matches,scenes_available,planet_scene_id,l8_scene_id,s2_scene_id,notes
cper-1,2020-05-20,8,TRUE,20200520_173019_53_1069,,S2B_MSIL2A_20200521T174909_R141_T13TDH_20200910T121632,
cper-1,2020-07-20,30,TRUE,20200718_180255_61_1064,LC08_L2SP_034030_20200718_02_T1,S2A_MSIL2A_20200715T174911_R141_T13TDH_20200912T041201,
cper-1,2020-09-20,16,TRUE,20200918_172147_30_1067,LC08_L2SP_034030_20200920_02_T1,S2A_MSIL2A_20200923T175051_R141_T13TDH_20200926T093310,
cper-2,2020-05-20,5,TRUE,20200519_172715_29_106a,,S2A_MSIL2A_20200523T173911_R098_T13TEF_20200910T163204,
cper-2,2020-07-20,27,TRUE,20200724_172337_25_1069,LC08_L2SP_033032_20200711_02_T1,S2A_MSIL2A_20200712T173911_R098_T13TEF_20201027T082218,
cper-2,2020-09-20,19,TRUE,20200922_172123_17_1067,LC08_L2SP_033032_20200913_02_T1,S2B_MSIL2A_20200915T173909_R098_T13TEF_20200918T002049,
cper-3,2020-05-20,19,TRUE,20200517_172945_09_1063,,S2B_MSIL2A_20200518T173909_R098_T13SEB_20200910T040140,
cper-3,2020-07-20,30,TRUE,20200725_172504_13_1063,LC08_L2SP_032034_20200720_02_T1,S2B_MSIL2A_20200717T173909_R098_T13SEB_20200816T131855,
cper-3,2020-09-20,30,TRUE,20200914_172012_76_1067,LC08_L2SP_032034_20200922_02_T1,S2B_MSIL2A_20200925T174009_R098_T13SEB_20200926T215910,
ecb-1,2020-05-20,1,TRUE,20200524_160525_43_106c,LC08_L2SP_020031_20200513_02_T1,,
ecb-1,2020-07-20,12,TRUE,20200725_160004_65_1068,,S2A_MSIL2A_20200718T161911_R040_T17TKF_20201027T082740,
ecb-1,2020-09-20,15,TRUE,20200919_163713_28_1058,LC08_L2SP_021031_20200925_02_T1,S2B_MSIL2A_20200921T161859_R040_T16TGL_20200924T101535,
ecb-2,2020-05-20,0,FALSE,,,,
